timestamp,datetime,favorites,id,is_retweet,retweets,text
1705970666234,2024-01-23 00:44:26,0,111802493582458926,True,0,"RT <span class=""h-card""><a href=""https://truthsocial.com/@realDonaldTrump"" class=""u-url mention"">@<span>realDonaldTrump</span></a></span>Join me LIVE—tonight in Laconia, New Hampshire at 9:00 PM EASTERN. Will be on <span class=""h-card""><a href=""https://truthsocial.com/@RSBN"" class=""u-url mention"">@<span>RSBN</span></a></span>, <span class=""h-card""><a href=""https://truthsocial.com/@NewsMax"" class=""u-url mention"">@<span>NewsMax</span></a></span>, <span class=""h-card""><a href=""https://truthsocial.com/@realamericasvoice"" class=""u-url mention"">@<span>realamericasvoice</span></a></span>, <span class=""h-card""><a href=""https://truthsocial.com/@OAN"" class=""u-url mention"">@<span>OAN</span></a></span>, and Donald J. Trump <span class=""h-card""><a href=""https://truthsocial.com/@rumble"" class=""u-url mention"">@<span>rumble</span></a></span>, among others. Big crowd—See you soon! <a href=""https://rumble.com/v48jks3-president-trump-in-laconia-nh.html"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">https://</span><span class=""ellipsis"">rumble.com/v48jks3-president-t</span><span class=""invisible"">rump-in-laconia-nh.html</span></a>"
1705971182879,2024-01-23 00:53:02,7323,111802527441327732,False,1886,
1705972117676,2024-01-23 01:08:37,10815,111802588703840693,False,2486,"American’s for No Prosperity, who made more money during the Trump years than at any other time, are stupid people who are backing Birdbrain as she goes down tubes. Bad timing Charles!"
1705972543385,2024-01-23 01:15:43,0,111802616603292108,True,0,"RT <span class=""h-card""><a href=""https://truthsocial.com/@realDonaldTrump"" class=""u-url mention"">@<span>realDonaldTrump</span></a></span><a href=""https://nh.donaldjtrump.com/"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">https://</span><span class="""">nh.donaldjtrump.com/</span><span class=""invisible""></span></a>"
1705973192020,2024-01-23 01:26:32,12835,111802659111963419,False,3046,"Otto would never have been seen alive again if not for the strength of the Trump Administration. He was taken during Obama/Biden - That’s when a deal to get him out of North Korea should have been made. Nikki was all talk and no action. I got him out, but by the time I assumed office, he was very close to death. GOD BLESS OTTO!"
1705974328745,2024-01-23 01:45:28,11584,111802733608764619,False,2632,"“Trump has a 52-point lead among White evangelical Christians, but still has a 10-point lead among those who are not.” <a href=""https://links.truthsocial.com/link/111799928861708905"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">https://www.</span><span class=""ellipsis"">washingtonpost.com/politics/20</span><span class=""invisible"">24/01/22/trump-leads-new-hampshire-post-monmouth-poll/</span></a>"
1705983200823,2024-01-23 04:13:20,9400,111803315049374828,False,2060,"<a href=""https://links.truthsocial.com/link/111802338289472373"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">https://www.</span><span class=""ellipsis"">rsbnetwork.com/news/trump-the-</span><span class=""invisible"">more-we-win-by-the-bigger-a-signal-we-send-for-november/</span></a>"
1705983246229,2024-01-23 04:14:06,9583,111803318025095775,False,2066,"<a href=""https://links.truthsocial.com/link/111802955107999472"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">https://www.</span><span class=""ellipsis"">rsbnetwork.com/news/trump-make</span><span class=""invisible"">s-a-final-call-for-high-voter-turnout-in-new-hampshire-primary/</span></a>"
1705983274911,2024-01-23 04:14:34,9587,111803319904786529,False,2011,"<a href=""https://links.truthsocial.com/link/111802961433776237"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">https://www.</span><span class=""ellipsis"">rsbnetwork.com/news/calls-for-</span><span class=""invisible"">trump-2024-intensify-after-desantis-dropped-out/</span></a>"
1705983423960,2024-01-23 04:17:03,10327,111803329672965154,False,2218,"<a href=""https://links.truthsocial.com/link/111803149400053465"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">https://www.</span><span class=""ellipsis"">rsbnetwork.com/news/trump-wrap</span><span class=""invisible"">s-up-primary-push-in-granite-state-by-casting-a-sparkling-vision-of-2025-administration/</span></a>"
1705985512544,2024-01-23 04:51:52,15217,111803466549845755,False,3444,"Thank you to everyone in the overflow tonight in Laconia, New Hampshire. We have a big day tomorrow—get out and VOTE. Together, WE are going to MAKE AMERICA GREAT AGAIN! <a href=""https://links.truthsocial.com/link/111517032318362813"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">https://</span><span class="""">nh.donaldjtrump.com/</span><span class=""invisible""></span></a>"
